SKUid,EANcode,BrandName,Category,Product,Price,Incentive
618,8.90E+12,BOAT,Wired HP,Bassheads 910 Carbon Black,949,9
622,8.90E+12,BOAT,Wired HP,Bassheads 950v2 Bold Blue,1099,11
1564,8.90E+12,BOAT,Wired EP,BoAt Bassheads 192 Active Black Indi,1999,20
437,8.90E+12,BOAT,Wired EP,Bassheads 100 Black,449,4
438,8.90E+12,BOAT,Wired EP,Bassheads 100 Courageous Orange,449,4
443,8.90E+12,BOAT,Wired EP,Bassheads 100 Furious Red,449,4
446,8.90E+12,BOAT,Wired EP,Bassheads 100 Mint Green,449,4
447,8.90E+12,BOAT,Wired EP,Bassheads 100 Mint Orange,449,4
448,8.90E+12,BOAT,Wired EP,Bassheads 100 Mint Purple,449,4
450,8.90E+12,BOAT,Wired EP,Bassheads 100 Taffy Pink,449,4
452,8.90E+12,BOAT,Wired EP,Bassheads 100 White,449,4
439,8.90E+12,BOAT,Wired EP,Bassheads 100 Csk Black,449,4
442,8.90E+12,BOAT,Wired EP,Bassheads 100 Dc Blue,449,4
445,8.90E+12,BOAT,Wired EP,Bassheads 100 Mi Blue,449,4
449,8.90E+12,BOAT,Wired EP,Bassheads 100 Rcb Raging Red,449,4
455,8.90E+12,BOAT,Wired EP,Bassheads 102 Charcoal Black,549,5
456,8.90E+12,BOAT,Wired EP,Bassheads 102 Elemental Blue,549,5
457,8.90E+12,BOAT,Wired EP,Bassheads 102 Fiery Red,549,5
458,8.90E+12,BOAT,Wired EP,Bassheads 102 Mint Green,549,5
459,8.90E+12,BOAT,Wired EP,Bassheads 102 Mint Orange,549,5
460,8.90E+12,BOAT,Wired EP,Bassheads 102 Mint Purple,549,5
461,8.90E+12,BOAT,Wired EP,Bassheads 103 Black,549,5
462,8.90E+12,BOAT,Wired EP,Bassheads 103 Blue,549,5
463,8.90E+12,BOAT,Wired EP,Bassheads 103 Mint Blue,549,5
464,8.90E+12,BOAT,Wired EP,Bassheads 103 Mint Green,549,5
465,8.90E+12,BOAT,Wired EP,Bassheads 103 Mint Orange,549,5
466,8.90E+12,BOAT,Wired EP,Bassheads 103 Mint Pink,549,5
467,8.90E+12,BOAT,Wired EP,Bassheads 103 Mint Purple,549,5
468,8.90E+12,BOAT,Wired EP,Bassheads 103 Red,549,5
469,8.90E+12,BOAT,Wired EP,Bassheads 104 Admiral,349,3
470,8.90E+12,BOAT,Wired EP,Bassheads 104 Black,349,3
471,8.90E+12,BOAT,Wired EP,Bassheads 104 Blue,349,3
472,8.90E+12,BOAT,Wired EP,Bassheads 104 Oceana,349,3
473,8.90E+12,BOAT,Wired EP,Bassheads 104 White,349,3
474,8.90E+12,BOAT,Wired EP,Bassheads 105 Black,499,5
475,8.90E+12,BOAT,Wired EP,Bassheads 105 Blue,499,5
476,8.90E+12,BOAT,Wired EP,Bassheads 105 Iguana,499,5
477,8.90E+12,BOAT,Wired EP,Bassheads 105 Spirit Lime,499,5
478,8.90E+12,BOAT,Wired EP,Bassheads 105 White,499,5
483,8.90E+12,BOAT,Wired EP,Bassheads 110 Black,449,4
484,8.90E+12,BOAT,Wired EP,Bassheads 110 Furious Red,449,4
485,8.90E+12,BOAT,Wired EP,Bassheads 110 Taffy Pink,449,4
486,8.90E+12,BOAT,Wired EP,Bassheads 110 White,449,4
487,8.90E+12,BOAT,Wired EP,Bassheads 122 Gunmetal,499,5
488,8.90E+12,BOAT,Wired EP,Bassheads 132 Silver Surfer,499,5
490,8.90E+12,BOAT,Wired EP,Bassheads 152 Active Black,549,5
491,8.90E+12,BOAT,Wired EP,Bassheads 152 Aztec Fusion,549,5
492,8.90E+12,BOAT,Wired EP,Bassheads 152 Black Star,549,5
493,8.90E+12,BOAT,Wired EP,Bassheads 152 Courageous Orange,549,5
494,8.90E+12,BOAT,Wired EP,Bassheads 152 Jazzy Blue,549,5
498,8.90E+12,BOAT,Wired EP,Bassheads 152 Maroon Mirage,549,5
499,8.90E+12,BOAT,Wired EP,Bassheads 152 Raging Red,549,5
500,8.90E+12,BOAT,Wired EP,Bassheads 152 Vibrant Green,549,5
501,8.90E+12,BOAT,Wired EP,Bassheads 152 White Pearl,549,5
502,8.90E+12,BOAT,Wired EP,Bassheads 152 White Purity,549,5
503,8.90E+12,BOAT,Wired EP,Bassheads 162 Active Black,499,5
504,8.90E+12,BOAT,Wired EP,Bassheads 162 Jazzy Blue,499,5
508,8.90E+12,BOAT,Wired EP,Bassheads 162 Raging Red,499,5
513,8.90E+12,BOAT,Wired EP,Bassheads 172 Active Black,549,5
514,8.90E+12,BOAT,Wired EP,Bassheads 172 Aztec Fusion,549,5
512,8.90E+12,BOAT,Wired EP,Bassheads 172 Black Star,549,5
515,8.90E+12,BOAT,Wired EP,Bassheads 172 Jazzy Blue,549,5
517,8.90E+12,BOAT,Wired EP,Bassheads 172 Raging Red,549,5
521,8.90E+12,BOAT,Wired EP,Bassheads 182 Active Black,549,5
523,8.90E+12,BOAT,Wired EP,Bassheads 182 Jazzy Blue,549,5
524,8.90E+12,BOAT,Wired EP,Bassheads 182 Raging Red,549,5
